"","no","title","artist","year"
"1968","67","Renegade","Styx","1979"
"1969","68","Love Is the Answer","England Dan & John Ford Coley","1979"
"1970","69","Got to Be Real","Cheryl Lynn","1979"
"1971","70","Born to Be Alive","Patrick Hernandez","1979"
"1972","71","Shine a Little Love","Electric Light Orchestra","1979"
"1973","72","I Just Fall in Love Again","Anne Murray","1979"
"1974","73","Shake It","Ian Matthews","1979"
"1975","74","I Was Made for Lovin' You","Kiss","1979"
"1976","75","I Just Wanna Stop","Gino Vannelli","1979"
"1977","76","Disco Nights (Rock-Freak)","GQ","1979"
"1978","77","Ooo Baby Baby","Linda Ronstadt","1979"
"1979","78","September","Earth, Wind & Fire","1979"
"1980","79","Time Passages","Al Stewart","1979"
"1981","80","Rise","Herb Alpert","1979"
"1982","81","Don't Bring Me Down","Electric Light Orchestra","1979"
"1983","82","Promises","Eric Clapton","1979"
"1984","83","Get Used to It","Roger Voudouris","1979"
"1985","84","How Much I Feel","Ambrosia","1979"
"1986","85","Suspicions","Eddie Rabbitt","1979"
"1987","86","You Take My Breath Away","Rex Smith","1979"
"1988","87","How You Gonna See Me Now","Alice Cooper","1979"
"1989","88","Double Vision","Foreigner","1979"
"1990","89","Everytime I Think of You","The Babys","1979"
"1991","90","I Got My Mind Made Up (You Can Get It Girl)","Instant Funk","1979"
"1992","91","Don't Stop 'til You Get Enough","Michael Jackson","1979"
"1993","92","Bad Case of Loving You (Doctor, Doctor)","Robert Palmer","1979"
"1994","93","Somewhere in the Night","Barry Manilow","1979"
"1995","94","We've Got Tonight","Bob Seger & The Silver Bullet Band","1979"
"1996","95","Dance the Night Away","Van Halen","1979"
"1997","96","Dancin' Shoes","Nigel Olsson","1979"
"1998","97","The Boss","Diana Ross","1979"
"1999","98","Sail On","Commodores","1979"
"2000","99","I Do Love You","GQ","1979"
"2001","100","Strange Way","Firefall","1979"
"2002","1","Call Me","Blondie","1980"
"2003","2","Another Brick in the Wall, Part II","Pink Floyd","1980"
"2004","3","Magic","Olivia Newton-John","1980"
"2005","4","Rock with You","Michael Jackson","1980"
"2006","5","Do That to Me One More Time","Captain & Tennille","1980"
"2007","6","Crazy Little Thing Called Love","Queen","1980"
"2008","7","Coming Up","Paul McCartney","1980"
"2009","8","Funkytown","Lipps Inc","1980"
"2010","9","It's Still Rock and Roll to Me","Billy Joel","1980"
"2011","10","The Rose","Bette Midler","1980"
"2012","11","Escape (The Piña Colada song)","Rupert Holmes","1980"
"2013","12","Cars","Gary Numan","1980"
"2014","13","Cruisin","Smokey Robinson","1980"
"2015","14","Working My Way Back to You/Forgive Me, Girl","The Spinners","1980"
"2016","15","Lost in Love","Air Supply","1980"
"2017","16","Little Jeannie","Elton John","1980"
"2018","17","Ride Like the Wind","Christopher Cross","1980"
"2019","18","Upside Down","Diana Ross","1980"
"2020","19","Please Don't Go","KC and the Sunshine Band","1980"
"2021","20","Babe","Styx","1980"
"2022","21","With You I'm Born Again","Billy Preston and Syreeta","1980"
"2023","22","Shining Star","The Manhattans","1980"
"2024","23","Still","Commodores","1980"
"2025","24","Yes, I'm Ready","Teri DeSario & KC","1980"
"2026","25","Sexy Eyes","Dr. Hook","1980"
"2027","26","Steal Away","Robbie Dupree","1980"
"2028","27","Biggest Part of Me","Ambrosia","1980"
"2029","28","This Is It","Kenny Loggins","1980"
"2030","29","Cupid/I've Loved You for a Long Time","The Spinners","1980"
"2031","30","Let's Get Serious","Jermaine Jackson","1980"
"2032","31","Don't Fall in Love with a Dreamer","Kenny Rogers & Kim Carnes","1980"
"2033","32","Sailing","Christopher Cross","1980"
"2034","33","Longer","Dan Fogelberg","1980"
"2035","34","Coward of the County","Kenny Rogers","1980"
"2036","35","Ladies' Night","Kool & the Gang","1980"
"2037","36","Too Hot","Kool & the Gang","1980"
"2038","37","Take Your Time (Do It Right)","The SOS Band","1980"
"2039","38","No More Tears (Enough Is Enough)","Barbra Streisand & Donna Summer","1980"
"2040","39","More Love","Kim Carnes","1980"
"2041","40","Pop Muzik","M","1980"
"2042","41","Brass in Pocket","The Pretenders","1980"
"2043","42","Special Lady","Ray, Goodman & Brown","1980"
"2044","43","Send One Your Love","Stevie Wonder","1980"
"2045","44","The Second Time Around","Shalamar","1980"
"2046","45","We Don't Talk Anymore","Cliff Richard","1980"
"2047","46","Stomp!","The Brothers Johnson","1980"
"2048","47","Heartache Tonight","Eagles","1980"
"2049","48","Tired of Toein' the Line","Rocky Burnette","1980"
"2050","49","Better Love Next Time","Dr. Hook","1980"
"2051","50","Him","Rupert Holmes","1980"
"2052","51","Against the Wind","Bob Seger and the Silver Bullet Band","1980"
"2053","52","On the Radio","Donna Summer","1980"
"2054","53","Emotional Rescue","The Rolling Stones","1980"
"2055","54","Rise","Herb Alpert","1980"
"2056","55","All Out of Love","Air Supply","1980"
"2057","56","Cool Change","Little River Band","1980"
"2058","57","You're Only Lonely","J.D. Souther","1980"
"2059","58","Desire","Andy Gibb","1980"
"2060","59","Let My Love Open the Door","Pete Townshend","1980"
"2061","60","Romeo's Tune","Steve Forbert","1980"
"2062","61","Daydream Believer","Anne Murray","1980"
"2063","62","I Can't Tell You Why","Eagles","1980"
"2064","63","Don't Let Go","Isaac Hayes","1980"
"2065","64","Don't Do Me Like That","Tom Petty and the Heartbreakers","1980"
"2066","65","She's Out of My Life","Michael Jackson","1980"
"2067","66","Fame","Irene Cara","1980"
"2068","67","Fire Lake","Bob Seger and the Silver Bullet Band","1980"
"2069","68","How Do I Make You","Linda Ronstadt","1980"
"2070","69","Into the Night","Benny Mardones","1980"
"2071","70","Let Me Love You Tonight","Pure Prairie League","1980"
"2072","71","Misunderstanding","Genesis","1980"
"2073","72","An American Dream","The Dirt Band","1980"
"2074","73","One Fine Day","Carole King","1980"
"2075","74","Dim All the Lights","Donna Summer","1980"
"2076","75","You May Be Right","Billy Joel","1980"
"2077","76","Should've Never Let You Go","Neil & Dara Sedaka","1980"
"2078","77","Pilot of the Airwaves","Charlie Dore","1980"
"2079","78","Hurt So Bad","Linda Ronstadt","1980"
"2080","79","Off the Wall","Michael Jackson","1980"
"2081","80","I Pledge My Love","Peaches & Herb","1980"
"2082","81","The Long Run","Eagles","1980"
"2083","82","Stand by Me","Mickey Gilley","1980"
"2084","83","Heartbreaker","Pat Benatar","1980"
"2085","84","Déjà Vu","Dionne Warwick","1980"
"2086","85","Drivin' My Life Away","Eddie Rabbitt","1980"
"2087","86","Take the Long Way Home","Supertramp","1980"
"2088","87","Sara","Fleetwood Mac","1980"
"2089","88","Wait for Me","Hall & Oates","1980"
"2090","89","Jojo","Boz Scaggs","1980"
"2091","90","September Morn","Neil Diamond","1980"
"2092","91","Give Me the Night","George Benson","1980"
"2093","92","Broken Hearted Me","Anne Murray","1980"
"2094","93","You Decorated My Life","Kenny Rogers","1980"
"2095","94","Tusk","Fleetwood Mac","1980"
"2096","95","I Wanna Be Your Lover","Prince","1980"
"2097","96","In America","Charlie Daniels Band","1980"
"2098","97","Breakdown Dead Ahead","Boz Scaggs","1980"
"2099","98","Ships","Barry Manilow","1980"
"2100","99","All Night Long","Joe Walsh","1980"
"2101","100","Refugee","Tom Petty and the Heartbreakers","1980"
"2102","1","Bette Davis Eyes","Kim Carnes","1981"
"2103","2","Endless Love","Diana Ross & Lionel Richie","1981"
"2104","3","Lady","Kenny Rogers","1981"
"2105","4","(Just Like) Starting Over","John Lennon","1981"
"2106","5","Jessie's Girl","Rick Springfield","1981"
"2107","6","Celebration","Kool & the Gang","1981"
"2108","7","Kiss on My List","Hall & Oates","1981"
"2109","8","I Love a Rainy Night","Eddie Rabbitt","1981"
"2110","9","9 to 5","Dolly Parton","1981"
"2111","10","Keep on Loving You","REO Speedwagon","1981"
"2112","11","Theme from The Greatest American Hero (Believe It or Not)","Joey Scarbury","1981"
"2113","12","Morning Train (Nine to Five)","Sheena Easton","1981"
"2114","13","Being with You","Smokey Robinson","1981"
"2115","14","Queen of Hearts","Juice Newton","1981"
"2116","15","Rapture","Blondie","1981"
"2117","16","A Woman Needs Love (Just Like You Do)","Raydio","1981"
"2118","17","The Tide Is High","Blondie","1981"
"2119","18","Just the Two of Us","Grover Washington, Jr. & Bill Withers","1981"
"2120","19","Slow Hand","The Pointer Sisters","1981"
"2121","20","I Love You","Climax Blues Band","1981"
"2122","21","Woman","John Lennon","1981"
"2123","22","Sukiyaki","A Taste of Honey","1981"
"2124","23","The Winner Takes It All","ABBA","1981"
"2125","24","Stars on 45 Medley","Stars on 45","1981"
"2126","25","Angel of the Morning","Juice Newton","1981"
"2127","26","Love on the Rocks","Neil Diamond","1981"
"2128","27","Every Woman in the World","Air Supply","1981"
"2129","28","The One That You Love","Air Supply","1981"
"2130","29","Guilty","Barbra Streisand & Barry Gibb","1981"
"2131","30","The Best of Times","Styx","1981"
"2132","31","Elvira","The Oak Ridge Boys","1981"
"2133","32","Take It on the Run","REO Speedwagon","1981"
"2134","33","(There's) No Gettin' Over Me","Ronnie Milsap","1981"
"2135","34","Living Inside Myself","Gino Vannelli","1981"
"2136","35","Woman in Love","Barbra Streisand","1981"
"2137","36","The Boy from New York City","The Manhattan Transfer","1981"
"2138","37","Urgent","Foreigner","1981"
"2139","38","Passion","Rod Stewart","1981"
"2140","39","Lady (You Bring Me Up)","Commodores","1981"
"2141","40","Crying","Don McLean","1981"
"2142","41","Hearts","Marty Balin","1981"
"2143","42","It's My Turn","Diana Ross","1981"
"2144","43","You Make My Dreams","Hall & Oates","1981"
"2145","44","I Don't Need You","Kenny Rogers","1981"
"2146","45","How 'Bout Us","Champaign","1981"
"2147","46","Hit Me with Your Best Shot","Pat Benatar","1981"
"2148","47","The Breakup Song (They Don't Write 'Em)","The Greg Kihn Band","1981"
"2149","48","Time","The Alan Parsons Project","1981"
"2150","49","Hungry Heart","Bruce Springsteen","1981"
"2151","50","Sweetheart","Franke and the Knockouts","1981"
"2152","51","Somebody's Knockin'","Terri Gibbs","1981"
"2153","52","More Than I Can Say","Leo Sayer","1981"
"2154","53","Together","Tierra","1981"
"2155","54","Too Much Time on My Hands","Styx","1981"
"2156","55","What Are We Doin' in Love","Dottie West & Kenny Rogers","1981"
"2157","56","Who's Crying Now","Journey","1981"
"2158","57","De Do Do Do, De Da Da Da","The Police","1981"
"2159","58","This Little Girl","Gary U.S. Bonds","1981"
"2160","59","Stop Draggin' My Heart Around","Stevie Nicks & Tom Petty","1981"
"2161","60","Giving It Up for Your Love","Delbert McClinton","1981"
"2162","61","A Little in Love","Cliff Richard","1981"
"2163","62","America","Neil Diamond","1981"
"2164","63","Ain't Even Done With The Night","John Cougar","1981"
"2165","64","Arthur's Theme (Best That You Can Do)","Christopher Cross","1981"
"2166","65","Another One Bites the Dust","Queen","1981"
"2167","66","Games People Play","The Alan Parsons Project","1981"
"2168","67","I Can't Stand It","Eric Clapton","1981"
"2169","68","While You See a Chance","Steve Winwood","1981"
"2170","69","Master Blaster (Jammin')","Stevie Wonder","1981"
"2171","70","Hello Again","Neil Diamond","1981"
"2172","71","Don't Stand So Close to Me","The Police","1981"
"2173","72","Hey Nineteen","Steely Dan","1981"
"2174","73","I Ain't Gonna Stand for It","Stevie Wonder","1981"
"2175","74","All Those Years Ago","George Harrison","1981"
"2176","75","Step By Step","Eddie Rabbitt","1981"
"2177","76","The Stroke","Billy Squier","1981"
"2178","77","Feels So Right","Alabama","1981"
"2179","78","Sweet Baby","George Duke & Stanley Clarke","1981"
"2180","79","Same Old Lang Syne","Dan Fogelberg","1981"
"2181","80","Cool Love","Pablo Cruise","1981"
"2182","81","Hold On Tight","Electric Light Orchestra","1981"
"2183","82","It's Now or Never","John Schneider","1981"
"2184","83","Treat Me Right","Pat Benatar","1981"
"2185","84","Winning","Santana","1981"
"2186","85","What Kind of Fool","Barbra Streisand & Barry Gibb","1981"
"2187","86","Watching the Wheels","John Lennon","1981"
"2188","87","Tell It Like It Is","Heart","1981"
"2189","88","Smoky Mountain Rain","Ronnie Milsap","1981"
"2190","89","I Made It Through the Rain","Barry Manilow","1981"
"2191","90","You've Lost That Lovin' Feelin'","Hall & Oates","1981"
"2192","91","Suddenly","Olivia Newton-John & Cliff Richard","1981"
"2193","92","For Your Eyes Only","Sheena Easton","1981"
"2194","93","The Beach Boys Medley","The Beach Boys","1981"
"2195","94","Whip It","Devo","1981"
"2196","95","Modern Girl","Sheena Easton","1981"
"2197","96","Really Wanna Know You","Gary Wright","1981"
"2198","97","Seven Year Ache","Rosanne Cash","1981"
"2199","98","I'm Coming Out","Diana Ross","1981"
"2200","99","Miss Sun","Boz Scaggs","1981"
"2201","100","Time Is Time","Andy Gibb","1981"
"2202","1","Physical","Olivia Newton-John","1982"
"2203","2","Eye of the Tiger","Survivor","1982"
"2204","3","I Love Rock 'n Roll","Joan Jett & The Blackhearts","1982"
"2205","4","Ebony and Ivory","Paul McCartney and Stevie Wonder","1982"
"2206","5","Centerfold","The J. Geils Band","1982"
"2207","6","Don't You Want Me","The Human League","1982"
"2208","7","Jack & Diane","John Cougar","1982"
"2209","8","Hurts So Good","John Cougar","1982"
"2210","9","Abracadabra","Steve Miller Band","1982"
"2211","10","Hard to Say I'm Sorry","Chicago","1982"
"2212","11","Tainted Love","Soft Cell","1982"
"2213","12","Chariots of Fire","Vangelis","1982"
"2214","13","Harden My Heart","Quarterflash","1982"
"2215","14","Rosanna","Toto","1982"
"2216","15","I Can't Go for That (No Can Do)","Hall & Oates","1982"
"2217","16","867-5309/Jenny","Tommy Tutone","1982"
"2218","17","Key Largo","Bertie Higgins","1982"
"2219","18","You Should Hear How She Talks About You","Melissa Manchester","1982"
"2220","19","Waiting for a Girl Like You","Foreigner","1982"
"2221","20","Don't Talk to Strangers","Rick Springfield","1982"
"2222","21","The Sweetest Thing (I've Ever Known)","Juice Newton","1982"
"2223","22","Always on My Mind","Willie Nelson","1982"
"2224","23","Shake It Up","The Cars","1982"
"2225","24","Let It Whip","Dazz Band","1982"
"2226","25","We Got the Beat","The Go-Go's","1982"
"2227","26","The Other Woman","Ray Parker Jr.","1982"
"2228","27","Turn Your Love Around","George Benson","1982"
"2229","28","Sweet Dreams","Air Supply","1982"
"2230","29","Only the Lonely","The Motels","1982"
"2231","30","Who Can It Be Now?","Men at Work","1982"
"2232","31","Hold Me","Fleetwood Mac","1982"
"2233","32","Eye in the Sky","The Alan Parsons Project","1982"
"2234","33","Let's Groove","Earth, Wind & Fire","1982"
"2235","34","Open Arms","Journey","1982"
"2236","35","Leader of the Band","Dan Fogelberg","1982"
"2237","36","Leather and Lace","Stevie Nicks and Don Henley","1982"
"2238","37","Even the Nights Are Better","Air Supply","1982"
"2239","38","I've Never Been to Me","Charlene","1982"
"2240","39","'65 Love Affair","Paul Davis","1982"
"2241","40","Heat of the Moment","Asia","1982"
"2242","41","Take It Easy on Me","Little River Band","1982"
"2243","42","Pac-Man Fever","Buckner & Garcia","1982"
"2244","43","That Girl","Stevie Wonder","1982"
"2245","44","Private Eyes","Hall & Oates","1982"
"2246","45","Trouble","Lindsey Buckingham","1982"
"2247","46","Making Love","Roberta Flack","1982"
"2248","47","Love's Been a Little Bit Hard on Me","Juice Newton","1982"
"2249","48","Young Turks","Rod Stewart","1982"
"2250","49","Freeze-Frame","The J. Geils Band","1982"
"2251","50","Keep the Fire Burnin'","REO Speedwagon","1982"
"2252","51","Do You Believe in Love","Huey Lewis and the News","1982"
"2253","52","Cool Night","Paul Davis","1982"
"2254","53","Caught Up In You","38 Special","1982"
"2255","54","Why Do Fools Fall In Love?","Diana Ross","1982"
"2256","55","Love in the First Degree","Alabama","1982"
"2257","56","Hooked On Classics","Royal Philharmonic Orchestra","1982"
"2258","57","Wasted on the Way","Crosby, Stills & Nash","1982"
"2259","58","Think I'm in Love","Eddie Money","1982"
"2260","59","Love Is in Control (Finger on the Trigger)","Donna Summer","1982"
"2261","60","Personally","Karla Bonoff","1982"
"2262","61","One Hundred Ways","Quincy Jones featuring James Ingram","1982"
